pcode,name,birth,age,height,weight,pitch_type,team
62754,임기영,19930416,31,184.0,86.0,RU,KIA
52528,반즈,19951001,28,189.0,91.0,LO,롯데
52043,벤자민,19930726,30,188.0,95.0,LO,KT
68220,곽빈,19990528,25,187.0,95.0,RO,두산
66291,이영하,19971101,26,192.0,91.0,RO,두산
69103,켈리,19891004,34,191.0,98.0,RO,LG
77446,백정현,19870713,36,184.0,80.0,LO,삼성
66965,도태훈,19930318,31,184.0,85.0,RO,NC
50902,김한별,20010118,23,177.0,85.0,RO,NC
54920,카스타노,19940917,29,190.0,104.0,LO,NC
66920,최성영,19970428,27,180.0,85.0,LO,NC
52305,박수종,19990225,25,178.0,82.0,RO,키움
62332,김재현,19930318,31,178.0,90.0,RO,키움
75566,이원석,19861021,37,181.0,82.0,RO,키움
54319,김윤하,20050307,19,185.0,90.0,RO,키움
54354,헤이수스,19961210,27,192.0,104.0,LO,키움
50360,김동혁,20011227,22,184.0,84.0,RU,키움
60841,박종훈,19910813,32,186.0,90.0,RU,SSG
53898,송영진,20040528,20,185.0,90.0,RO,SSG
53714,산체스,19970411,27,178.0,99.0,LO,한화
61353,고종욱,19890111,35,184.0,83.0,RO,KIA
68646,한준수,19990213,25,184.0,95.0,RO,KIA
54640,네일,19930208,31,193.0,83.0,RO,KIA
63950,장현식,19950224,29,181.0,91.0,RO,KIA
60337,김대유,19910508,33,187.0,92.0,LO,KIA
67539,나균안,19980316,26,186.0,109.0,RO,롯데
64001,고영표,19910916,32,187.0,88.0,RU,KT
67263,최원준,19941221,29,182.0,91.0,RU,두산
50150,손호영,19940823,29,182.0,88.0,RO,LG
65320,최원태,19970107,27,184.0,104.0,RO,LG
69108,이지강,19990702,24,183.0,85.0,RO,LG
79140,최동환,19890919,34,184.0,83.0,RO,LG
69446,원태인,20000406,24,183.0,92.0,RO,삼성
62146,최성훈,19891011,34,178.0,75.0,LO,삼성
63960,이상민,19901104,33,180.0,85.0,LO,삼성
68501,최하늘,19990326,25,190.0,99.0,RU,삼성
60263,이재학,19901004,33,181.0,84.0,RU,NC
69363,박준형,19990307,25,177.0,89.0,RO,키움
68330,예진원,19990316,25,172.0,82.0,LO,키움
66018,김선기,19910901,32,187.0,98.0,RO,키움
62925,강진성,19931019,30,176.0,89.0,RO,SSG
64861,이건욱,19950213,29,182.0,85.0,RO,SSG
52701,문동주,20031223,20,188.0,97.0,RO,한화
54063,원상현,20041016,19,183.0,83.0,RO,KT
69068,이선우,20000919,23,186.0,90.0,RU,KT
63202,장승현,19940307,30,184.0,86.0,RO,두산
51230,김동주,20020214,22,190.0,90.0,RO,두산
68269,김호준,19980517,26,180.0,82.0,LO,두산
67143,손주영,19981202,25,191.0,95.0,LO,LG
63961,윤호솔,19940715,29,183.0,110.0,RO,LG
51403,김동진,19961218,27,184.0,84.0,RO,삼성
50464,이승민,20000826,23,174.0,79.0,LO,삼성
51648,이의리,20020616,21,185.0,90.0,LO,KIA
63342,조상우,19940904,29,186.0,97.0,RO,키움
52330,주승우,20000130,24,180.0,82.0,RO,키움
68928,김시훈,19990224,25,188.0,95.0,RO,NC
61268,양현,19920823,31,189.0,104.0,RU,삼성
68200,김민규,19990507,25,183.0,90.0,RO,두산
50657,박민,20010605,22,184.0,84.0,RO,KIA
68619,윤중현,19950425,29,180.0,84.0,RU,KIA
52641,황동하,20020730,21,183.0,96.0,RO,KIA
64868,조용호,19890909,34,170.0,75.0,RO,KT
64350,하영민,19950507,29,183.0,74.0,RO,키움
67391,김재웅,19981022,25,171.0,86.0,LO,키움
64565,이인복,19910618,32,187.0,97.0,RO,롯데
62363,한현희,19930625,30,182.0,98.0,RU,롯데
66838,김동엽,19900724,33,186.0,101.0,RO,삼성
64011,안승한,19920125,32,176.0,98.0,RO,두산
53613,윤영철,20040420,20,187.0,87.0,LO,KIA
54729,황준서,20050822,18,185.0,78.0,LO,한화
53754,김서현,20040531,19,188.0,86.0,RO,한화
64012,송민섭,19910802,32,177.0,80.0,RO,KT
67419,문용익,19950204,29,178.0,93.0,RO,KT
66162,김주성,19980130,26,180.0,81.0,RO,LG
69453,이학주,19901104,33,187.0,87.0,RO,롯데
64768,조이현,19950627,28,185.0,95.0,RO,KT
62951,이형범,19940227,30,181.0,80.0,RO,KIA
68249,박신지,19990716,24,185.0,75.0,RO,두산
68407,공민규,19990927,24,183.0,85.0,RO,삼성
60146,이승현,19911120,32,181.0,92.0,RO,삼성
50167,이주형,20010402,23,181.0,80.0,RO,키움
69367,김인범,20000112,24,187.0,91.0,RO,키움
67644,이정훈,19941207,29,185.0,90.0,RO,롯데
69428,이병헌,19991026,24,180.0,87.0,RO,삼성
53404,류승민,20041011,19,185.0,90.0,LO,삼성
65496,홍정우,19960316,28,182.0,85.0,RO,삼성
60336,문성현,19911109,32,182.0,89.0,RO,키움
