,gameId,umpire
309,20210624HHSS02021,권영철
310,20210624HTKT02021,김정국
311,20210624LGSK02021,김익수
312,20210624NCLT02021,최영주
313,20210624WOOB02021,이영재
314,20210625HTWO02021,김태완
315,20210625KTHH02021,우효동
316,20210625LTOB02021,이용혁
317,20210625SKNC02021,이기중
318,20210626HTWO02021,정종수
319,20210626KTHH02021,김성철
320,20210626LGSS12021,나광남
321,20210626LGSS22021,추평호
322,20210626LTOB02021,김준희
323,20210626SKNC02021,문동균
324,20210627HTWO02021,박기택
325,20210627KTHH02021,배병두
326,20210627LGSS02021,차정구
327,20210627LTOB02021,강광회
328,20210627SKNC02021,김선수
329,20210629LTWO02021,박종철
330,20210629NCHT02021,오훈규
331,20210629SSSK02021,박근영
332,20210630KTLG02021,이민호
333,20210630LTWO02021,구명환
334,20210630OBHH02021,전일수
335,20210630SSSK12021,문승훈
336,20210630SSSK22021,송수근
337,20210701KTLG02021,권영철
338,20210701LTWO02021,이영재
339,20210701NCHT02021,김익수
340,20210701OBHH02021,김갑수
341,20210701SSSK02021,김병주
342,20210702HHLG02021,이기중
343,20210702LTSK02021,우효동
344,20210702OBHT02021,윤상원
345,20210702SSNC02021,유덕형
346,20210702WOKT02021,김정국
347,20210704HHLG02021,문동균
348,20210704LTSK02021,김성철
349,20210704OBHT02021,박근영
350,20210704SSNC02021,김준희
351,20210704WOKT02021,차정구
352,20210705HHLG02021,박종철
353,20210705LTSK02021,배병두
354,20210705WOKT02021,나광남
355,20210706NCOB02021,추평호
356,20210706SKWO02021,문승훈
357,20210707HTHH02021,윤태수
358,20210707NCOB02021,전일수
359,20210707SKWO02021,송수근
360,20210708KTSS02021,최수원
361,20210708SKWO02021,김병주
362,20210709HHSK02021,김갑수
363,20210709KTHT02021,이민호
364,20210709LTSS02021,윤상원
365,20210710HHSK02021,김정국
366,20210710LTSS02021,문승훈
367,20210711HHSK02021,차정구
368,20210711KTHT02021,권영철
369,20210711LTSS02021,송수근
370,20210810HHHT02021,오훈규
371,20210810KTWO02021,구명환
372,20210810LTNC02021,나광남
373,20210810SKLG02021,김익수
374,20210811HHHT02021,김태완
375,20210811KTWO02021,이영재
376,20210811LTNC02021,추평호
377,20210811OBSS02021,김병주
378,20210811SKLG02021,우효동
379,20210812KTWO02021,이기중
380,20210812LTNC02021,장준영
381,20210812OBSS02021,윤상원
382,20210813HTSK02021,전일수
383,20210813LTLG02021,문동균
384,20210813NCHH02021,박근영
385,20210813OBWO02021,정종수
386,20210813SSKT02021,김선수
387,20210814HTSK02021,김정국
388,20210814LTLG02021,박종철
389,20210814NCHH02021,최영주
390,20210814OBWO02021,박기택
391,20210814SSKT02021,김성철
392,20210815HTSK02021,나광남
393,20210815LTLG02021,구명환
394,20210815NCHH02021,문승훈
395,20210815OBWO02021,윤태수
396,20210815SSKT02021,배병두
397,20210817LGKT02021,송수근
398,20210817SSHH02021,유덕형
399,20210817WOLT02021,추평호
400,20210818HTOB02021,이용혁
401,20210818LGKT02021,김병주
402,20210818NCSK02021,정종수
403,20210818SSHH02021,이기중
404,20210818WOLT02021,장준영
405,20210819HTOB02021,강광회
406,20210819LGKT02021,윤상원
407,20210819NCSK02021,박기택
408,20210819SSHH02021,김갑수
409,20210820HHOB02021,김정국
410,20210820KTLT02021,문동균
411,20210820LGNC02021,이민호
412,20210820SKSS02021,박근영
413,20210820WOHT02021,윤태수
414,20210821HHOB02021,추평호
415,20210822HHOB02021,장준영
416,20210822KTLT02021,박종철
417,20210822LGNC02021,권영철
418,20210822SKSS02021,문승훈
419,20210822WOHT02021,최영주
420,20210823KTLT02021,구명환
421,20210824HHOB02021,전일수
422,20210824SKSS02021,송수근
423,20210824WOHT02021,최수원
424,20210825HHWO02021,이용혁
425,20210825LTHT02021,김익수
426,20210825SKKT02021,김정국
427,20210825SSLG02021,오훈규
428,20210826HHWO02021,이민호
429,20210826LTHT02021,우효동
430,20210826OBNC12021,이영재
431,20210826OBNC22021,이기중
432,20210826SKKT02021,나광남
433,20210826SSLG02021,원현식
434,20210827HHWO02021,김갑수
435,20210827OBNC02021,문동균
436,20210827SKKT02021,김선수
437,20210827SSLG02021,정종수
438,20210828HTSK02021,구명환
439,20210828NCHH02021,박기택
440,20210828SSKT02021,김성철
441,20210828WOLG02021,추평호
442,20210829HTSK02021,이영재
443,20210829NCHH02021,윤태수
444,20210829SSKT02021,배병두
445,20210829WOLG02021,장준영
446,20210831KTHH02021,전일수
447,20210831LGLT02021,김준희
448,20210831WOSS02021,이기중
449,20210901HTOB12021,김병주
450,20210901HTOB22021,윤상원
451,20210901KTHH02021,김정국
452,20210901NCSK12021,최수원
453,20210901WOSS12021,문동균
454,20210902KTWO02021,박근영
455,20210902NCLG02021,박종철
456,20210902OBSK02021,김갑수
457,20210902SSHT02021,나광남
458,20210903HHLT12021,우효동
459,20210903HHLT22021,김성철
460,20210903KTWO02021,문승훈
461,20210903NCLG02021,구명환
462,20210903OBSK02021,이민호
463,20210903SSHT02021,김선수
464,20210904HTHH02021,권영철
465,20210904KTLG02021,이영재
466,20210904LTNC02021,송수근
467,20210904OBSS02021,배병두
468,20210904SKWO02021,추평호
469,20210905HTHH02021,강광회
470,20210905KTLG02021,이기중
471,20210905LTNC02021,김병주
472,20210905OBSS02021,최수원
473,20210905SKWO02021,장준영
474,20210907HHNC02021,김익수
475,20210907LTSS02021,전일수
476,20210908HHNC02021,김갑수
477,20210908HTKT02021,박근영
478,20210908LGSK02021,오훈규
479,20210908LTSS02021,김정국
480,20210908WOOB02021,이용혁
481,20210909HHLG02021,최영주
482,20210909HTWO02021,원현식
483,20210909KTSS02021,우효동
484,20210909OBNC02021,나광남
485,20210909SKLT02021,김준희
486,20210910HHLG02021,송수근
487,20210910HTWO02021,정종수
488,20210910KTSS02021,김성철
489,20210910OBNC02021,추평호
490,20210910SKLT02021,권영철
491,20210911LGOB02021,최수원
492,20210911NCHT02021,이민호
493,20210911SKKT02021,박기택
494,20210911SSHH02021,김병주
495,20210911WOLT02021,장준영
496,20210912LGOB12021,김익수
497,20210912LGOB22021,우효동
498,20210912NCHT12021,이용혁
499,20210912NCHT22021,김준희
500,20210912SKKT12021,윤태수
501,20210912SKKT22021,오훈규
502,20210912SSHH12021,박근영
503,20210912SSHH22021,문승훈
504,20210912WOLT12021,김정국
505,20210912WOLT22021,전일수
506,20210914HHSK02021,배병두
507,20210914KTOB02021,권영철
508,20210914LGSS02021,문동균
509,20210914LTHT02021,최영주
510,20210914WONC02021,원현식
511,20210915HHSK02021,김성철
512,20210915KTOB02021,강광회
513,20210915LGSS02021,박종철
514,20210915LTHT12021,송수근
515,20210915LTHT22021,김병주
516,20210915WONC02021,정종수
517,20210916HHWO02021,차정구
518,20210916HTSS02021,최수원
519,20210916LGNC02021,박기택
520,20210916LTKT02021,구명환
521,20210916SKOB02021,윤상원
522,20210917HHWO02021,이민호
523,20210917HTSS02021,김익수
524,20210917LGNC02021,윤태수
525,20210917LTKT02021,이영재
526,20210917SKOB02021,박근영
527,20210918HTLG02021,이기중
528,20210918KTNC02021,우효동
529,20210918LTHH02021,최영주
530,20210918OBWO02021,이용혁
531,20210918SSSK02021,오훈규
532,20210919HTLG02021,유덕형
533,20210919KTNC02021,김성철
534,20210919LTHH02021,문승훈
535,20210919OBWO02021,강광회
536,20210919SSSK02021,김태완
537,20210921KTHT02021,차정구
538,20210921LGHH02021,원현식
539,20210921NCOB02021,문동균
540,20210921SSLT02021,배병두
541,20210921WOSK02021,송수근
542,20210922KTHT02021,이민호
543,20210922LGHH02021,정종수
544,20210922NCOB02021,박종철
545,20210922SSLT02021,최수원
546,20210922WOSK02021,김병주
547,20210923HHKT02021,구명환
548,20210923LTSK02021,김익수
549,20210923NCWO02021,박기택
550,20210923OBHT02021,김준희
551,20210923SSLG02021,윤상원
552,20210924HHKT02021,이영재
553,20210924LTSK12021,김성철
554,20210924LTSK22021,배병두
555,20210924NCWO02021,윤태수
556,20210924OBHT02021,권영철
557,20210924SSLG02021,박근영
558,20210925HHOB02021,오훈규
559,20210925LGKT02021,최수원
560,20210925LTWO02021,최영주
561,20210925NCSS02021,이용혁
562,20210925SKHT02021,유덕형
563,20210926HHOB02021,김태완
564,20210926LGKT02021,김익수
565,20210926LTWO02021,문승훈
566,20210926NCSS02021,차정구
567,20210926SKHT02021,이기중
568,20210928HTNC02021,김병주
569,20210928LTLG02021,원현식
570,20210928OBKT02021,강광회
571,20210928SKSS02021,추평호
572,20210928WOHH02021,문동균
573,20210929HTNC12021,윤상원
574,20210929OBKT02021,김준희
575,20210930HHSS02021,박근영
576,20210930KTLT02021,장준영
577,20210930SKNC02021,박종철
578,20210930WOHT02021,권영철
579,20211001HHSS02021,최영주
580,20211001KTLT12021,김정국
581,20211001KTLT22021,전일수
582,20211001SKNC02021,유덕형
583,20211001WOHT02021,이용혁
584,20211002HHHT02021,이영재
585,20211002KTSK02021,윤태수
586,20211002LGWO02021,나광남
587,20211002NCLT02021,문승훈
588,20211002SSOB02021,김갑수
589,20211003HHHT02021,이기중
590,20211003KTSK02021,오훈규
591,20211003LGWO02021,차정구
592,20211003NCLT02021,송수근
593,20211003SSOB02021,이민호
594,20211005HTLT02021,김태완
595,20211005NCKT02021,우효동
596,20211005OBHH02021,추평호
597,20211005SKLG02021,강광회
598,20211005SSWO02021,문동균
599,20211006HTLT02021,원현식
600,20211006NCKT02021,김성철
601,20211006OBHH02021,장준영
602,20211006SKLG12021,김준희
603,20211006SKLG22021,권영철
604,20211006SSWO02021,박종철
605,20211007LGHT02021,전일수
606,20211007LTOB02021,이영재
607,20211007SKHH02021,배병두
608,20211007SSNC02021,정종수
609,20211007WOKT02021,이용혁
610,20211008LGHT02021,김정국
611,20211008LTOB02021,이기중
612,20211008SKHH02021,최수원
613,20211008SSNC02021,박기택
614,20211009HTHH02021,윤태수
615,20211009KTLG02021,문동균
616,20211009LTSK02021,김익수
617,20211010HTHH12021,오훈규
618,20211010HTHH22021,김태완
619,20211010OBNC02021,나광남
620,20211011KTLG02021,유덕형
621,20211012KTOB02021,우효동
622,20211012LGSK02021,원현식
623,20211012NCWO02021,김병주
624,20211012SSHT02021,박종철
625,20211013KTOB02021,김갑수
626,20211013LGLT02021,차정구
627,20211013NCWO02021,윤상원
628,20211013SSHT02021,구명환
629,20211014KTOB02021,정종수
630,20211014LGLT02021,추평호
631,20211014NCWO02021,배병두
632,20211014SSHT02021,이영재
633,20211015HTKT02021,박근영
634,20211015LGLT02021,장준영
635,20211015NCOB02021,박기택
636,20211015WOSS02021,최수원
637,20211016HHKT02021,최영주
638,20211016HTOB02021,전일수
639,20211016LGNC02021,이기중
640,20211016SKLT02021,이민호
641,20211016WOSS12021,김익수
642,20211016WOSS22021,우효동
643,20211017HHKT02021,문승훈
644,20211017HTOB12021,나광남
645,20211017HTOB22021,김정국
646,20211017LGNC12021,문동균
647,20211017LGNC22021,유덕형
648,20211017SKLT12021,강광회
649,20211017SKLT22021,김준희
650,20211017WOSS02021,김갑수
651,20211019KTNC02021,김성철
652,20211019OBSS02021,송수근
653,20211019SKHT02021,차정구
654,20211019WOLG02021,윤태수
655,20211020KTHT02021,추평호
656,20211020NCSK02021,김태완
657,20211020WOLG02021,오훈규
658,20211021HHHT02021,김정국
659,20211021OBSK02021,권영철
660,20211021WOLG02021,유덕형
661,20211022HHLT02021,배병두
662,20211022HTNC02021,원현식
663,20211022KTSS02021,박근영
664,20211022OBSK02021,이용혁
665,20211023HHLT02021,최수원
666,20211023HTNC12021,정종수
667,20211023HTNC22021,박기택
668,20211023KTSS02021,김병주
669,20211023LGOB02021,이민호
670,20211024HHLT02021,김익수
671,20211024HTNC02021,오훈규
672,20211024LGOB12021,강광회
673,20211024LGOB22021,김준희
674,20211024SKSS02021,윤상원
675,20211024WOKT02021,전일수
676,20211025LTLG02021,장준영
677,20211025WOHH02021,김갑수
678,20211026LGHH02021,박종철
679,20211026SKNC02021,윤태수
680,20211026WOOB02021,나광남
681,20211027HTLT02021,유덕형
682,20211027LGHH02021,구명환
683,20211027NCKT02021,김태완
684,20211027OBSK02021,김성철
685,20211027SSWO02021,차정구
686,20211028HTLT02021,원현식
687,20211028LGHH02021,이영재
688,20211028NCKT12021,권영철
689,20211028NCKT22021,이용혁
690,20211028OBSK02021,우효동
691,20211029KTWO02021,최수원
692,20211029LGLT02021,정종수
693,20211029OBHT02021,박근영
694,20211029SSNC02021,이기중
695,20211030KTSK02021,김익수
696,20211030LGLT02021,오훈규
697,20211030OBHH02021,이민호
698,20211030SSNC02021,문동균
699,20211030WOHT02021,문승훈
700,66661031KTSS02021,박기택
701,20220402HHOB02022,전일수
702,20220402LGHT02022,박기택
703,20220402LTWO02022,박종철
704,20220402SKNC02022,최수원
705,20220402SSKT02022,이영재
706,20220403HHOB02022,송수근
707,20220403LGHT02022,김준희
708,20220403LTWO02022,이계성
709,20220403SKNC02022,김정국
710,20220403SSKT02022,이기중
711,20220405HHHT02022,오훈규
712,20220405LGWO02022,윤상원
713,20220405LTNC02022,김성철
714,20220405SKKT02022,권영철
715,20220405SSOB02022,김병주
716,20220406HHHT02022,문승훈
717,20220406LGWO02022,김태완
718,20220406LTNC02022,박근영
719,20220406SKKT02022,유덕형
720,20220406SSOB02022,윤태수
721,20220407HHHT02022,이용혁
722,20220407LGWO02022,이민호
723,20220407LTNC02022,배병두
724,20220407SKKT02022,나광남
725,20220407SSOB02022,추평호
726,20220408HTSK02022,김익수
727,20220408KTHH02022,우효동
728,20220408NCLG02022,정종수
729,20220408WOSS02022,박기택
730,20220409HTSK02022,전일수
731,20220409KTHH02022,장준영
732,20220409NCLG02022,박종철
733,20220409WOSS02022,김준희
734,20220410HTSK02022,송수근
735,20220410KTHH02022,김병주
736,20220410NCLG02022,이계성
737,20220410WOSS02022,김성철
738,20220412HHSS02022,권영철
739,20220412LTHT02022,윤태수
740,20220412NCWO02022,함지웅
741,20220412OBKT02022,윤상원
742,20220412SKLG02022,원현식
743,20220413HHSS02022,유덕형
744,20220413NCWO02022,이용혁
745,20220413SKLG02022,구명환
746,20220414HHSS02022,나광남
747,20220414LTHT02022,추평호
748,20220414NCWO02022,최수원
749,20220414OBKT02022,김태완
750,20220414SKLG02022,이영재
751,20220415HTNC02022,이기중
752,20220415KTLT02022,정종수
753,20220415LGHH02022,이민호
754,20220415SSSK02022,김정국
755,20220415WOOB02022,장준영
756,20220416HTNC02022,유덕형
757,20220416KTLT02022,박종철
758,20220416LGHH02022,김익수
759,20220416SSSK02022,김성철
760,20220416WOOB02022,김병주
761,20220417HTNC02022,원현식
762,20220417KTLT02022,이계성
763,20220417LGHH02022,전일수
764,20220417SSSK02022,함지웅
765,20220417WOOB02022,윤태수
766,20220419HHLT02022,구명환
767,20220419KTLG02022,박근영
768,20220419OBHT02022,이용혁
769,20220419SSNC02022,추평호
770,20220419WOSK02022,권영철
771,20220420HHLT02022,이영재
772,20220420KTLG02022,배병두
773,20220420OBHT02022,최수원
774,20220420SSNC02022,김선수
775,20220420WOSK02022,나광남
776,20220421HHLT02022,이기중
777,20220421KTLG02022,박기택
778,20220421OBHT02022,김정국
779,20220421SSNC02022,우효동
780,20220421WOSK02022,정종수
781,20220422HTWO02022,유덕형
782,20220422LGOB02022,박종철
783,20220422LTSS02022,김준희
784,20220422NCKT02022,오훈규
785,20220422SKHH02022,장준영
786,20220423HTWO02022,원현식
787,20220423LGOB02022,이계성
788,20220423LTSS02022,김성철
789,20220423NCKT02022,차정구
790,20220423SKHH02022,김병주
791,20220424HTWO02022,구명환
792,20220424LGOB02022,권영철
793,20220424LTSS02022,박근영
794,20220424NCKT02022,문승훈
795,20220424SKHH02022,윤태수
796,20220426HTKT02022,추평호
797,20220426LGSS02022,이영재
798,20220426NCOB02022,배병두
799,20220426SKLT02022,송수근
800,20220426WOHH02022,이용혁
801,20220427HTKT02022,김선수
802,20220427LGSS02022,이기중
803,20220427NCOB02022,박기택
804,20220427SKLT02022,이민호
805,20220427WOHH02022,최수원
806,20220428HTKT02022,우효동
